table,column,type,unit,definition,source
forecast,period,integer,count / identifier,Years after time zero,Calculated scenario output
forecast,units,integer,count / identifier,units,Calculated scenario output
forecast,revenue,decimal,USD,revenue,Calculated scenario output
forecast,variable_cost,decimal,USD,variable cost,Calculated scenario output
forecast,fixed_cost,integer,USD,fixed cost,Calculated scenario output
forecast,lost_mechanical_units,decimal,count / identifier,lost mechanical units,Calculated scenario output
forecast,cannibalization_loss,decimal,USD,cannibalization loss,Calculated scenario output
forecast,brand_loss,decimal,USD,brand loss,Calculated scenario output
forecast,operating_cash,decimal,USD,Incremental pre-tax operating cash proxy,Calculated scenario output
forecast,discounted_cash,decimal,USD,Operating cash discounted by period,Calculated scenario output
forecast,cannibalization_pct,decimal,fraction or multiplier,cannibalization pct,Calculated scenario output
forecast,brand_haircut,decimal,fraction or multiplier,Residual mechanical contribution haircut,Calculated scenario output
summary,strategy_id,integer,fraction or multiplier,strategy id,Calculated scenario output
summary,scenario_id,integer,count / identifier,scenario id,Calculated scenario output
summary,npv,decimal,USD,Discounted cash less time-zero investment,Calculated scenario output
summary,total_units,integer,count / identifier,total units,Calculated scenario output
summary,total_revenue,decimal,USD,total revenue,Calculated scenario output
summary,total_cannibalization_loss,decimal,USD,total cannibalization loss,Calculated scenario output
summary,total_brand_loss,decimal,USD,total brand loss,Calculated scenario output
summary,max_cannibalization_pct,decimal,fraction or multiplier,max cannibalization pct,Calculated scenario output
summary,max_brand_haircut,decimal,fraction or multiplier,Brand haircut limit,Calculated scenario output
pricing,price,integer,USD,Retail test price,Calculated scenario output
pricing,qualified_n,integer,count / identifier,qualified n,Calculated scenario output
pricing,base_annual_units,decimal,count / identifier,Calibrated annual units before year/scenario factors,Calculated scenario output
pricing,net_unit_contribution,decimal,USD,net unit contribution,Calculated scenario output
pricing,npv,decimal,USD,Discounted cash less time-zero investment,Calculated scenario output
thresholds,strategy_id,integer,fraction or multiplier,strategy id,Calculated scenario output
thresholds,risk_adjusted_unit_contribution,decimal,USD,risk adjusted unit contribution,Calculated scenario output
thresholds,base_annual_units,decimal,count / identifier,Calibrated annual units before year/scenario factors,Calculated scenario output
thresholds,break_even_volume_multiple,decimal,fraction or multiplier,break even volume multiple,Calculated scenario output
thresholds,max_volume_multiple_for_cannibalization,decimal,fraction or multiplier,max volume multiple for cannibalization,Calculated scenario output
sensitivity,strategy_id,integer,fraction or multiplier,strategy id,Calculated scenario output
sensitivity,volume_multiple,decimal,fraction or multiplier,volume multiple,Calculated scenario output
sensitivity,npv,decimal,USD,Discounted cash less time-zero investment,Calculated scenario output
